"SMILES","SALT","SALT_RATIO","COMPOUND_ID","SAMPLE_ID","SUPPLIER","SUPPLIER_PART_NO","PARENT_AMW","PARENT_EMW","SALTED_MOLECULAR_WEIGHT","MOLECULAR_FORMULA","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_SOLVENT","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","SOLUBILITY","ALIQUOT_DATE","PURITY_PERCENT","ANALYSIS_DATE","PURITY_METHOD"
"N=C1N(Cc2ccccc12)NC(=O)c3c[nH]c4ccccc34",,,"CPD003113494","SAM004284151","Enamine","Z56786281",290.3252,290.1167,290.3252,"C17H14N4O","BF00010935","A03","DMSO",10.33,"mM",12,"uL","Soluble","28-Mar-14",31.1,"2014-03-28T07:00:00.0","LCUV214_UPLC3"
"COc1ccc(cc1S(=O)(=O)N2CCCC2)C(=O)OCc3cn4cc(Cl)ccc4n3",,,"CPD003110523","SAM004279802","Enamine","Z15475245",449.9101,449.0812,449.9101,"C20H20ClN3O5S","BF00010935","B03","DMSO",10.0,"mM",12,"uL","Soluble","28-Mar-14",97.37,"2014-03-27T07:00:00.0","LCELS_MUX2"
"[O-][N+](=O)c1ccc2NC(=O)\C(=N\n3ncc4ccccc34)\c2c1.Cl","HCl",1,"CPD003113448","SAM004284081","Enamine","Z56782719",307.2636,307.0705,343.7245,"C15H9N5O3","BF00010935","C03","DMSO",10.18,"mM",12,"uL","Soluble","28-Mar-14",92.9,"2014-03-27T07:00:00.0","LCELS_MUX2"
"O=C(Nc1cccc(c1)S(=O)(=O)N2CCOCC2)c3c4CCCc4nc5ccccc35",,,"CPD000243338","SAM004279795","Enamine","Z30001085",437.5147,437.1409,437.5147,"C23H23N3O4S","BF00010935","D03","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",94.16,"2014-03-27T07:00:00.0","LCELS_MUX2"
"COc1ccc2\C(=C/Nn3cnnc3)\C(=O)N(C(=O)c2c1)c4ccc(Cl)cc4",,,"CPD003113484","SAM004284130","Enamine","Z56785249",395.7991,395.0785,395.7991,"C19H14ClN5O3","BF00010935","E03","DMSO",10.11,"mM",12,"uL","Soluble","28-Mar-14",91.46,"2014-03-27T07:00:00.0","LCELS_MUX2"
"NC(=O)C1CCN(CC1)c2ccc(cc2[N+](=O)[O-])C(F)(F)F",,,"CPD000193988","SAM004279829","Enamine","Z31237888",317.2686,317.0987,317.2686,"C13H14F3N3O3","BF00010935","F03","DMSO",10.09,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"[O-][N+](=O)c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1",,,"CPD003113505","SAM004284171","Enamine","Z31217841",357.179,355.9466,357.179,"C12H9BrN2O4S","BF00010935","G03","DMSO",10.08,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_UPLC3"
"O=C(NN=Cc1ccc(s1)N2CCOCC2)c3cccc(c3)S(=O)(=O)N4CCCC4",,,"CPD003117635","SAM004290175","Enamine","Z49605182",448.5564,448.1238,448.5564,"C20H24N4O4S2","BF00010935","H03","DMSO",10.03,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCELS_MUX2"
"FC(F)(F)Oc1ccc(cc1)C(=O)OCC(=O)Nc2cc(Cl)ccc2C#N",,,"CPD003113548","SAM004284235","Enamine","Z18573008",398.7263,398.0281,398.7263,"C17H10ClF3N2O4","BF00010935","I03","DMSO",10.03,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"CC(=O)NCc1ccc(s1)C(=O)Cn2nnc(n2)c3cccc(F)c3",,,"CPD003117467","SAM004289972","Enamine","Z74395356",359.3787,359.0852,359.3787,"C16H14FN5O2S","BF00010935","J03","DMSO",10.02,"mM",12,"uL","Soluble","28-Mar-14",98.96,"2014-03-27T07:00:00.0","LCELS_MUX2"
"Cc1ccc(n1C)P(=Nc2cc(ccc2C)[N+](=O)[O-])(N3CCOCC3)N4CCOCC4",,,"CPD003113612","SAM004284331","Enamine","Z56790314",447.4759,447.2035,447.4759,"C21H30N5O4P","BF00010935","K03","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCELS_MUX2"
"CNC(=O)NC(=O)C(C)Oc1ccc(cc1)C(=O)c2ccc(F)cc2",,,"CPD003117539","SAM004290062","Enamine","Z18763242",344.3434,344.1172,344.3434,"C18H17FN2O4","BF00010935","L03","DMSO",10.16,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"CN1C(=O)/C(=C\Nc2c(C)n(C)n(c3ccccc3)c2=O)/c4ccccc4C1=O",,,"CPD003113485","SAM004284132","Enamine","Z56785291",388.427,388.1535,388.427,"C22H20N4O3","BF00010935","M03","DMSO",10.04,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"Clc1ccccc1N2CCN(Cn3nc(oc3=S)c4ccco4)CC2",,,"CPD003117992","SAM004290615","Enamine","Z44114128",376.8616,376.076,376.8616,"C17H17ClN4O2S","BF00010935","N03","DMSO",10.08,"mM",12,"uL","Soluble","28-Mar-14",0.0,"2014-03-28T07:00:00.0","LCUV214_UPLC3"
"C[N+](C)(C)c1ccc(C=Nc2cccc3c(=O)[nH][nH]c(=O)c23)cc1.[I-]","I-",1,"CPD003113479","SAM004284125","Enamine","Z56785105",323.3756,323.1508,450.2796,"C18H19N4O2","BF00010935","O03","DMSO",10.22,"mM",12,"uL","Soluble","28-Mar-14",83.2,"2014-03-28T07:00:00.0","LCELS_UPLC3"
"OC1(CC2CC3C1)CC(C2)(C3)C(=O)OCC(=O)Nc4cccc(F)c4",,,"CPD003117842","SAM004290429","Enamine","Z25059466",347.3877,347.1532,347.3877,"C19H22FNO4","BF00010935","P03","DMSO",10.08,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCELS_MUX2"
"Clc1ccc(SCCC(=O)OCC(=O)NNC(=O)c2cccs2)cc1",,,"CPD003117271","SAM004289662","Enamine","Z19203141",398.88,398.0161,398.88,"C16H15ClN2O4S2","BF00010935","A04","DMSO",10.03,"mM",12,"uL","Soluble","28-Mar-14",96.16,"2014-03-27T07:00:00.0","LCELS_MUX2"
"CNC(=O)CNC(=O)Nc1cccc(C)c1",,,"CPD003130249","SAM004306021","Enamine","Z125693470",221.2556,221.1164,221.2556,"C11H15N3O2","BF00010935","B04","DMSO",10.4,"mM",12,"uL","Soluble","28-Mar-14",98.04,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"[O-][N+](=O)c1ccc(SCC(=O)NNc2c(F)c(F)cc(F)c2F)cc1",,,"CPD003110708","SAM004280049","Enamine","Z33474274",375.2981,375.03,375.2981,"C14H9F4N3O3S","BF00010935","C04","DMSO",10.13,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_UPLC3"
"COc1ccc(NC(=O)CCN2C(=O)C3CCCCC3C2=O)cn1",,,"CPD003130486","SAM004306293","Enamine","Z26414517",331.3663,331.1532,331.3663,"C17H21N3O4","BF00010935","D04","DMSO",10.26,"mM",12,"uL","Soluble","28-Mar-14",95.54,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"CCOC(=O)c1c(C)[nH]c(C(=O)CN2C(=O)NC(C)(C2=O)c3ccc(C)cc3)c1C",,,"CPD000063937","SAM004280065","Enamine","Z14059890",411.4591,411.1794,411.4591,"C22H25N3O5","BF00010935","E04","DMSO",10.21,"mM",12,"uL","Soluble","28-Mar-14",98.82,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"CCOC(=O)Cc1csc(NC(=O)COC(=O)c2ccc(O)cc2)n1",,,"CPD002187415","SAM004306174","Enamine","Z19674318",364.373,364.0729,364.373,"C16H16N2O6S","BF00010935","F04","DMSO",10.15,"mM",12,"uL","Soluble","28-Mar-14",90.61,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"CS(=O)(=O)N(Cc1ccc(Cl)cc1)c2ccc(cc2)C(=O)NCc3ccccn3",,,"CPD000274994","SAM004280152","Enamine","Z56983941",429.9223,429.0913,429.9223,"C21H20ClN3O3S","BF00010935","G04","DMSO",10.0,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"COc1ccc(cc1)S(=O)(=O)Nc2ccn(C)n2",,,"CPD003130292","SAM004306071","Enamine","Z123605530",267.3042,267.0677,267.3042,"C11H13N3O3S","BF00010935","H04","DMSO",10.1,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
"COCCNC(=O)\C(=C/c1ccc(s1)N2CCOCC2)\C#N",,,"CPD003110801","SAM004280200","Enamine","Z46088127",321.3946,321.1147,321.3946,"C15H19N3O3S","BF00010935","I04","DMSO",10.27,"mM",12,"uL","Soluble","28-Mar-14",98.82,"2014-03-27T07:00:00.0","LCELS_MUX2"
"CC(C)Oc1ccc(cc1)C(=O)NNC(=O)C2CN(Cc3ccc(C)cc3)C(=O)C2",,,"CPD003130228","SAM004305999","Enamine","Z29091450",409.4781,409.2001,409.4781,"C23H27N3O4","BF00010935","J04","DMSO",10.01,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-27T07:00:00.0","LCUV214_MUX2"
